windcode:000507.SZ high:9.840000 low:9.010000 close:9.080000 diff:0.884287 dea:0.722472 macd:0.323631 K:56.356901 D:60.202089 J:48.666526 PB1:9.044626 PB2:8.540059 PB6:7.144745 
windcode:600863.SH high:3.080000 low:3.000000 close:3.010000 diff:-0.019337 dea:0.014853 macd:-0.068380 K:12.636139 D:23.148135 J:-8.387853 PB1:3.205354 PB2:3.204218 PB6:3.355207 
windcode:002272.SZ high:7.090000 low:6.830000 close:6.860000 diff:-0.676758 dea:-0.430880 macd:-0.491756 K:15.947504 D:19.389390 J:9.063733 PB1:7.778714 PB2:8.201822 PB6:8.890473 
windcode:000023.SZ high:24.700000 low:24.260000 close:24.490000 diff:-1.529365 dea:-0.886557 macd:-1.285616 K:14.015428 D:17.690677 J:6.664931 PB1:26.188733 PB2:27.057449 PB6:27.767851 
windcode:600036.SH high:21.150000 low:20.460000 close:20.890000 diff:0.527921 dea:0.370168 macd:0.315506 K:75.018973 D:61.621602 J:101.813716 PB1:19.694653 PB2:19.418493 PB6:18.305860 
windcode:002555.SZ high:24.200000 low:23.190000 close:23.200000 diff:1.161632 dea:0.753432 macd:0.816400 K:75.159053 D:71.948625 J:81.579909 PB1:21.862202 PB2:21.191900 PB6:19.240985 
windcode:600017.SH high:4.280000 low:4.160000 close:4.200000 diff:0.027086 dea:0.018486 macd:0.017199 K:27.430985 D:32.268638 J:17.755678 PB1:4.251778 PB2:4.215988 PB6:4.441358 
windcode:002150.SZ high:12.070000 low:11.440000 close:11.460000 diff:-1.050433 dea:-0.539622 macd:-1.021621 K:8.676095 D:11.402711 J:3.222864 PB1:13.154257 PB2:13.825851 PB6:14.592037 
windcode:002757.SZ high:36.280000 low:34.650000 close:34.810000 diff:-1.792307 dea:-1.384582 macd:-0.815450 K:25.938776 D:30.709125 J:16.398078 PB1:36.547641 PB2:37.323401 PB6:40.681708 
windcode:600215.SH high:10.570000 low:10.160000 close:10.190000 diff:0.224809 dea:0.681040 macd:-0.912461 K:21.452046 D:31.265568 J:1.825000 PB1:11.466713 PB2:11.688132 PB6:10.288118 
windcode:002135.SZ high:7.930000 low:7.530000 close:7.660000 diff:-0.094772 dea:-0.123318 macd:0.057091 K:43.798669 D:39.486082 J:52.423844 PB1:7.407277 PB2:7.391044 PB6:7.834777 
windcode:002730.SZ high:15.860000 low:15.410000 close:15.700000 diff:-1.125257 dea:-0.665284 macd:-0.919945 K:20.293109 D:23.505254 J:13.868819 PB1:16.791563 PB2:17.472128 PB6:18.226484 
windcode:600458.SH high:12.010000 low:11.400000 close:11.550000 diff:-0.705284 dea:-0.415415 macd:-0.579737 K:11.008100 D:21.087363 J:-9.150426 PB1:13.151977 PB2:13.446590 PB6:14.911043 
windcode:002002.SZ high:7.700000 low:7.380000 close:7.410000 diff:0.107267 dea:0.218740 macd:-0.222947 K:27.856824 D:39.940558 J:3.689356 PB1:7.864521 PB2:7.870759 PB6:7.660410 
